concept,domain,description,w1_var,w1_scale,w2_var,w2_scale,w3_var,w3_scale,w4_var,w4_scale,w5_var,w5_scale,w6_var,w6_scale,harmonized_name,harmonize_to,reverse_waves,notes,source
org_member_any,social_capital,Member of any organization or group (binary),NA,NA,q20,binary,NA,NA,NA,NA,NA,NA,NA,NA,org_member_any,binary,none,W2 only. Binary yes/no question,manual
org_count_formal,social_capital,Number of formal groups belong to,fgnum,count_0to3,fgnum,count_0to3,NA,NA,NA,NA,NA,NA,NA,NA,org_count_formal,count,none,W1-W2 only. Count variable 0-3,manual
org_count_private,social_capital,Number of private groups belong to,pgnum,count_0to3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,org_count_private,count,none,W1 only. Count variable 0-3,manual
org_member_1,social_capital,First most important organization belong to,NA,NA,q20_1,20cat,q20,21cat,q20,21cat,q18,21cat,q18,21cat,org_import_1,categorical,none,W2 has 20 categories. W3-W6 have 21 categories. Categories mostly align,manual
org_member_2,social_capital,Second most important organization,NA,NA,q20_2,20cat,q21,21cat,q21,21cat,q19,21cat,q19,21cat,org_import_2,categorical,none,W2 has 20 categories. W3-W6 have 21 categories,manual
org_member_3,social_capital,Third most important organization,NA,NA,q20_3,20cat,q22,21cat,q22,21cat,q20,21cat,q20,21cat,org_import_3,categorical,none,W2 has 20 categories. W3-W6 have 21 categories,manual
org_most_active,social_capital,Most actively participated organization in past 12 months,NA,NA,NA,NA,NA,NA,NA,NA,q21,21cat,q21,21cat,org_most_active,categorical,none,W5-W6 only. Same 21 categories,manual
trust_gen_binary,social_capital,Most people can be trusted (binary/trichotomous),q024,3opt,q23,2opt,q23,2opt,q23,2opt,q22,3opt,q22,3opt,trust_general_binary,binary,none,W1 has 3 options (both/it depends). W2-W4 binary. W5-W6 add it depends,manual
trust_gen_trustworthy,social_capital,Most people are trustworthy (agree scale),NA,NA,NA,NA,q49,4pt,q24,4pt,q23,4pt,q23,4pt,trust_general_scale,4pt_1high,none,W3-W6 only. 1=Strongly agree to 4=Strongly disagree. Need reversal,manual
trust_fairness,social_capital,People try to take advantage vs be fair,NA,NA,NA,NA,NA,NA,q25,2opt,NA,NA,NA,NA,trust_fairness,binary,none,W4 only. Binary choice question,manual
trust_relatives,social_capital,Trust in relatives,NA,NA,q24,4pt_1low,q25,4pt_1low,q26,4pt_1low,q24,6pt_1high,q24,6pt_1high,trust_relatives,4pt_1high,W5-W6,W2-W6. W2-W4 (1=none→4=great deal) HIGHER=MORE. W5-W6 (1=fully→6=distrust) HIGHER=LESS. Must reverse W5-W6,manual
trust_neighbors,social_capital,Trust in neighbors,NA,NA,q25,4pt_1low,q26,4pt_1low,q27,4pt_1low,q25,6pt_1high,q25,6pt_1high,trust_neighbors,4pt_1high,W5-W6,W2-W6. W2-W4 (1=none→4=great deal) HIGHER=MORE. W5-W6 (1=fully→6=distrust) HIGHER=LESS. Must reverse W5-W6,manual
trust_others_interact,social_capital,Trust in people you interact with,NA,NA,q26,4pt_1low,q27,4pt_1low,q28,4pt_1low,q26,6pt_1high,q26,6pt_1high,trust_others_interact,4pt_1high,W5-W6,W2-W6. W2-W4 (1=none→4=great deal) HIGHER=MORE. W5-W6 (1=fully→6=distrust) HIGHER=LESS. Must reverse W5-W6,manual
trust_first_time,social_capital,Trust in people you meet for the first time,NA,NA,q27,4pt_1low,q27,4pt_1low,NA,NA,q27,6pt_1high,q27,6pt_1high,trust_first_time,4pt_1high,W5-W6,W2-W3 and W5-W6. Missing W4. W2-W3 (1=none→4=great deal) HIGHER=MORE. W5-W6 (1=fully→6=distrust) HIGHER=LESS. Must reverse W5-W6,manual
contact_frequency,social_capital,Number of people contacted in typical weekday,NA,NA,q27,5cat,q28,5cat,q29,5cat,q28,5cat,q28,5cat,social_network_size,5cat,none,W2-W6. Five categories from 0-4 people to 50+ people,manual
network_status,social_capital,Social status of most contacts (higher/lower/equal),NA,NA,NA,NA,NA,NA,NA,NA,q29,3cat,q29,3cat,social_network_status,categorical,none,W5-W6 only. Three categories comparing social status,manual
network_politics,social_capital,Political views similarity of frequent contacts,NA,NA,NA,NA,NA,NA,NA,NA,q30,6cat,q30,6cat,social_network_political,categorical,none,W5-W6 only. Six categories from all similar to don't know their views,manual
support_receive,social_capital,Can ask people for help with difficult problems,NA,NA,NA,NA,q29,4pt,q30,4pt,q31,4pt,q31,4pt,social_support_receive,4pt_1high,none,W3-W6. Four point scale from nobody to a lot of people,manual
support_give,social_capital,Other people come to you for help,NA,NA,NA,NA,q30,4pt,q31,4pt,NA,NA,NA,NA,social_support_give,4pt_1high,none,W3-W4 only. Four point scale from nobody to a lot of people,manual
political_tolerance,social_capital,Difficulty conversing with those with different political views,NA,NA,q31,4pt,q31,4pt,q32,4pt,q32,4pt,q32,4pt,political_tolerance,4pt_1high,yes_reverse,W2-W6. Four point from very hard to not hard at all. Higher=more tolerant so reverse code,manual
