variable,w5_label,w1_label,w2_label,w3_label,w4_label,w6_label,w5_values,w1_values,w2_values,w3_values,w4_values,w6_values,w5_label_present,w1_label_present,w2_label_present,w3_label_present,w4_label_present,w6_label_present,n_waves_present,similar_variables,similarity_scores,suggested_concept_group,suggested_domain
q100,100 In your opinion how much of a democracy is our country?,Where would you place our country under the present government?,"In your opinion, what are the most important questions facing the country that government should address?","q100. Between elections, the people have no way of holding the government responsible for its actions.",100. How likely is it that the government will solve the most important problem you identified within the next five years?,"100  In our country, parties and candidates not in power have opportunities to be elected into government.","Missing = -1; A full democracy = 1; A democracy, but with minor problems = 2",Complete dictatorship = 1; Complete democracy = 10; Not Applicable = 97,"No answer = 0; Economics = 100; Management of the economy, economic development = 110",Missing = -1; Strongly agree = 1; Somewhat agree = 2,Missing = -1; Not applicable = 0; Very likely = 1,Missing = -1; Not applicable = 0; Strongly agree = 1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,q96; q96; q95; q95; q099,1; 1; 0.869; 0.869; 0.825,"q099, q100, q95, q96",governance
q101,101 Where would you place our country under the present government?,To what extent would you want our country to be democratic now?,Second Response,"q101. When government leaders break the laws, there is nothing the court can do.",101. People have the power to change a government they don't like,"101  Between elections, the people have no way of holding the government responsible for its actions.",Missing = -1; Completely Undemocratic = 1; 2 = 2,Complete dictatorship = 1; Complete democracy = 10; Not Applicable = 97,"No answer = 0; Economics = 100; Management of the economy, economic development = 110",Missing = -1; Strongly agree = 1; Somewhat agree = 2,Missing = -1; Strongly agree = 1; Somewhat agree = 2,Missing = -1; Not applicable = 0; Strongly agree = 1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,q97; q97,1; 1,"q101, q97",democracy
q102,102 Where would you place our country ten years ago?,Where do you expect our country to be in five years?,Third Response,q102. Most citizens in our country don't make much effort to influence government decisions.,102. Political parties or candidates in our country have equal access to the mass media during the election period.,"102  When government leaders break the laws, there is nothing the court can do.",Missing = -1; Completely Undemocratic = 1; 2 = 2,Complete dictatorship = 1; Complete democracy = 10; Not Applicable = 97,"No answer = 0; Economics = 100; Management of the economy, economic development = 110",Missing = -1; Strongly agree = 1; Somewhat agree = 2,Missing = -1; Strongly agree = 1; Somewhat agree = 2,Missing = -1; Not applicable = 0; Strongly agree = 1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA,NA,NA,other
q103,103 Where would you expect our country to be ten years from now?,Do you think democracy is suitable for our country?,People have the power to change a government they don't like,q103. All citizens from different ethnic communities in Country X are treated equally by the government.,"103. Between elections, the people have no way of holding the government responsible for its actions.",103  All citizens from different ethnic communities in the [Country X] are treated equally by the government.,Missing = -1; Completely Undemocratic = 1; 2 = 2,Completely unsuitable = 1; Completely suitable = 10; Don't know = 98,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Missing = -1; Strongly agree = 1; Somewhat agree = 2,Missing = -1; Strongly agree = 1; Somewhat agree = 2,Missing = -1; Not applicable = 0; Strongly agree = 1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,q98; q98,0.812; 0.812,"q103, q98",democracy
q104,104 Where would you place our country today? Democracy is suitable or not,How satisfied or dissatisfied are you with the current government?,Our current courts always punish the guilty even if they are high-ranking officials,q104. Rich and poor people are treated equally by the government.,"104. When government leaders break the laws, there is nothing the court can do.",104  Rich and poor people are treated equally by the government.,Missing = -1; Democracy is completely unsuitable = 1; 2 = 2,Veryl dissatisfied = 1; Somewhat dissatisfied = 2; Somewhat satisfied = 3,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Missing = -1; Strongly agree = 1; Somewhat agree = 2,Missing = -1; Strongly agree = 1; Somewhat agree = 2,Missing = -1; Not applicable = 0; Strongly agree = 1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,q99; q99,0.936; 0.936,"q104, q99",governance; satisfaction
q105,105 How satisfied or dissatisfied are you with the current president/government?,Everyone is free to say what they think- is better than before?,Political parties or candidates in our country have equal access to the mass media during the election period,"q105. People have basic necessities like food, clothes, and shelter.",105. All citizens from different ethnic communities in the country are treated equally by the government.,"105  People have basic necessities like food, clothes, and shelter.",Missing = -1; Very satisfied = 1; Somewhat satisfied = 2,Much worse = 1; Somewhat worse = 2; Much the same = 3,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Missing = -1; Strongly agree = 1; Somewhat agree = 2,Missing = -1; Strongly agree = 1; Somewhat agree = 2,Missing = -1; Not applicable = 0; Strongly agree = 1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA,NA,NA,freedom; efficacy
q106,106 What are the first most important problems facing this country that government should address(1st response)?,Everyone is treated equally by the government- is better than before?,"Between elections, the people have no way of holding the government responsible for its actions",q106. People are free to speak what they think without fear.,106 Rich and poor people are treated equally by the government,106  People are free to speak what they think without fear.,"Missing = -1; Management of the economy = 1; Wages, incomes and salaries = 2",Much worse = 1; Somewhat worse = 2; Much the same = 3,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Missing = -1; Strongly agree = 1; Somewhat agree = 2,Missing = -1; Strongly agree = 1; Somewhat agree = 2,Missing = -1; Not applicable = 0; Strongly agree = 1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA,NA,NA,governance; equality
q107,107 How likely is it that the government will solve the most important problem you identified within the next five years?,People like me can have an influence on government- is better than before?,"When the government breaks the laws, there is nothing the legal system can do",q107. People can join any organization they like without fear.,"107. People have basic necessities like food, clothes, and shelter",107  People can join any organization they like without fear.,Missing = -1; Not applicable = 0; Very likely = 1,Much worse = 1; Somewhat worse = 2; Much the same = 3,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Missing = -1; Strongly agree = 1; Somewhat agree = 2,Missing = -1; Strongly agree = 1; Somewhat agree = 2,Missing = -1; Not applicable = 0; Strongly agree = 1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,q129; q129,0.802; 0.802,"q107, q129",governance; efficacy
q108,108 Citizens are able to remove a government they don't like through elections,Corruption in politics and government is under control- is better than before?,Everyone is treated equally by the government,q108. Do officials who commit crimes go unpunished?,108. People are free to speak what they think without fear.,108 How often do government officials withhold important information from the public?,Missing = -1; Strongly agree = 1; Somewhat agree = 2,Much worse = 1; Somewhat worse = 2; Much the same = 3,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Missing = -1; Always = 1; Most of the time = 2,Missing = -1; Strongly agree = 1; Somewhat agree = 2,Missing = -1; Not applicable = 0; Always = 1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA,NA,NA,politics; governance; corruption
q109,"109 In our country, parties and candidates not in power have opportunities to be elected into government",The gap between the rich and the poor have narrowed- is better than before?,"People have basic necessities like food, clothes, and shelter",q109. How often do government officials withhold important information from the public view?,109 People can join any organization they like without fear.,109 How often do you think government leaders break the law or abuse their power?,Missing = -1; Strongly agree = 1; Somewhat agree = 2,Much worse = 1; Somewhat worse = 2; Much the same = 3,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Missing = -1; Always = 1; Most of the time = 2,Missing = -1; Strongly agree = 1; Somewhat agree = 2,Missing = -1; Not applicable = 0; Always = 1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA,NA,NA,other
q110,"110 Between elections, the people have no way of holding the government responsible for its actions",Preventing crime and maintaining order- is better than before?,People are free to speak what they think without fear,q110. How often do you think government leaders break the law or abuse their power?,110 Do officials who commit crimes go unpunished?,110 How often do you think our elections offer the voters a real choice between different parties/candidates?,Missing = -1; Strongly agree = 1; Somewhat agree = 2,Much worse = 1; Somewhat worse = 2; Much the same = 3,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Missing = -1; Always = 1; Most of the time = 2,Missing = -1; Always = 1; Most of the time = 2,Missing = -1; Not applicable = 0; Always = 1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA,NA,NA,other
q111,"111 When government leaders break the laws, there is nothing the court can do",Economic development- is better than before?,People can join any organization the like without fear,q111.  How often do you think our elections offer the voters a real choice between different parties/candidates?,111 How often do government officials withhold important information from the public view?,111 To what extent is the legislature capable of keeping government leaders in check?,Missing = -1; Strongly agree = 1; Somewhat agree = 2,Much worse = 1; Somewhat worse = 2; Much the same = 3,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,Missing = -1; Always = 1; Most of the time = 2,Missing = -1; Always = 1; Most of the time = 2,Missing = -1; Not applicable = 0; Very capable = 1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA,NA,NA,economic
q112,112 All citizens from different ethnic communities in the country are treated equally by the government.,Judges and courts are free from political interference- is better than before?,How often do government officials withhold important information from the public view?,q112. To what extent is the legislature capable of keeping government leaders in check?,112 How often do you think government leaders break the law or abuse their power?,112 How well do you think the government responds to what people want?,Missing = -1; Strongly agree = 1; Somewhat agree = 2,Much worse = 1; Somewhat worse = 2; Much the same = 3,Always = 1; Most of the time = 2; Occasionally = 3,Missing = -1; Very capable = 1; Capable = 2,Missing = -1; Always = 1; Most of the time = 2,Missing = -1; Not applicable = 0; Very responsive = 1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA,NA,NA,politics; judiciary
q113,113 Rich and poor people are treated equally by the government,You can join any organization you like- is better than before?,How often do national government officials abide by the law? (HK: Hong Kong government),q113. How well do you think the government responds to what people want?,113 How often do you think our elections offer the voters a real choice between different parties/candidates?,113 How much do you feel that having elections make the government more responsive to people's needs?,Missing = -1; Strongly agree = 1; Somewhat agree = 2,Much worse = 1; Somewhat worse = 2; Much the same = 3,Always = 1; Most of the time = 2; Sometimes = 3,Missing = -1; Very responsive = 1; Largely responsive = 2,Missing = -1; Always = 1; Most of the time = 2,Missing = -1; Not applicable = 0; A good deal = 1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA,NA,NA,participation; civil_society
