concept,domain,w1_var,w1_scale,w1_label,w2_var,notes
democracy_preferable,democracy,q117,3opt,Democracy preferable to other regimes,q121,Variable numbers differ. Check exact scale
satisfaction_democracy,democracy,q098,4pt_1low,Satisfaction with democracy (1=Not at all to 4=Very),q93,Variable numbers differ but content same
age,demographics,se003a,continuous,Age in years,age,Standard demographic
education,demographics,se005,ordinal,Education level,education,Standard demographic - check coding
gender,demographics,se002,binary,"Gender (1=Male, 2=Female)",gender,Standard demographic
income,demographics,se009,ordinal,Income level,income,Check exact variable names per wave
urban_rural,demographics,level3,binary,"Urban/rural (1=Urban, 2=Rural)",urban,Check exact variable names - may vary
econ_country_current,economic,q001,5pt_1bad,Country economic condition now (1=Very bad to 5=Very good),q1,All waves. Very good=1 to Very bad=5
econ_country_future,economic,q003,5pt_1worse,Country economic future (1=Much worse to 5=Much better),q3,All waves
econ_country_past,economic,q002,5pt_1worse,Country economic change past (1=Much worse to 5=Much better),q2,All waves. Much better=1 to Much worse=5
econ_family_current,economic,q004,5pt_1bad,Family economic condition now,q4,All waves
econ_family_future,economic,q006,5pt_1worse,Family economic future,q6,All waves
econ_family_past,economic,q005,5pt_1worse,Family economic change past,q5,All waves
attend_campaign,electoral,q029,binary_2yes,"Attended campaign meeting/rally (1=No, 2=Yes)",q40,All waves. W1-W2 (1=no 2=yes) vs W3-W6 (1=yes 2=no). W1-W2 need reversal
persuade_vote,electoral,q030,binary_2yes,"Tried to persuade others to vote (1=No, 2=Yes)",q41,W1-W3 and W6. Missing W4-W5. W1-W2 (1=no 2=yes) vs W3/W6 (1=yes 2=no). W1-W2 need reversal
which_party_voted,electoral,q028,categorical,Which party voted for,q39,All waves. Country-specific party codes. Not directly comparable across countries
work_for_party,electoral,q031,binary_2yes,"Worked for party/candidate (1=No, 2=Yes)",q42,All waves. W1-W2 (1=no 2=yes) vs W3-W6 (1=yes 2=no). W1-W2 need reversal
country,identifiers,country,categorical,Country code,country,Standardize country names
respondent_id,identifiers,idnumber,id,Respondent ID number,idnumber,May need to create wave-country-id
attend_demonstration,participation,q087,3pt_w1code,Attended demonstration or protest,q80,All waves. 3-point scale (1=more than once 2=once 3=never). HIGHER=LESS participation
contact_elected_officials,participation,q073,3pt_w1code,"Contacted elected officials (1=Once, 2=More than once, 9=Never)",q72,All waves. 3-point scale (1=more than once 2=once 3=never). Some waves have 4-point version with willingness. HIGHER=LESS participation
contact_higher_officials,participation,q074,3pt_w1code,Contacted higher government officials,q73,All waves. 3-point scale (1=more than once 2=once 3=never). HIGHER=LESS participation
contact_media,participation,q080,3pt_w1code,Contacted news media,q76,All waves. 3-point scale (1=more than once 2=once 3=never). HIGHER=LESS participation
petition_sign,participation,q084,3pt_w1code,Sign petition or raise issue,q78,All waves. 3-point scale (1=more than once 2=once 3=never). HIGHER=LESS participation
use_force_violence,participation,q095,3pt_w1code,Used force or violence for political cause,q81,All waves. 3-point scale (1=more than once 2=once 3=never). HIGHER=LESS participation
party_closeness,partisanship,q062,categorical,Which party feel closest to,q54,All waves. Categorical variable with country-specific party codes. 90/99=no party. Codes vary by country - not directly comparable across countries but consistent concept
discuss_politics,political_interest,q023,5pt_1low,Discuss political matters (1=Never to 5=Very often),q52,Most waves. W1 (1=never to 5=very often) 5-point HIGHER=MORE. W2 (1=never to 3=frequently) 3-point HIGHER=MORE. W3-W6 (1=frequently to 3=never) HIGHER=LESS. Must reverse W1-W2. Different scale lengths require careful harmonization
follow_news,politics,q057,6pt_2low,Follow political news (2=Practically never to 6=Everyday),NA,W3-W6. Check exact scales per wave
