wave,variable,label,value_labels_sample
Wave5,Q106c,"106c:(India only) In your opinion, what are the most important problems facing this country that government should address? (1st response)","Missing = -1; (Women) within this Paradigm but no clear answer = 0; Economy, economic growth, economic development = 1"
Wave5,Q106d,"106d:(India only) In your opinion, what are the most important problems facing this country that government should address? (2nd response)","Missing = -1; (Women) within this Paradigm but no clear answer = 0; Economy, economic growth, economic development = 1"
Wave5,Q106e,"106e:(India only) In your opinion, what are the most important problems facing this country that government should address? (3rd response)","Missing = -1; (Women) within this Paradigm but no clear answer = 0; Economy, economic growth, economic development = 1"
Wave1,q001,How would you rate the overall economic condition of our country today?,Very Bad = 1; Bad = 2; So so = 3
Wave1,q002,How would you describe the change in the economic condition of our country over the past five years?,Much Worse = 1; A little Worse = 2; About the same = 3
Wave1,q003,What do you think will be the state of our country's economic condition five years from now?,Much Worse = 1; A little Worse = 2; About the same = 3
Wave1,q004,"As for your own family, how do you rate your economic situation today?",Very Bad = 1; Bad = 2; So so = 3
Wave1,q005,How would you compare the current economic condition of your family with what it was five years ago?,Much worse now = 1; A little worse now = 2; About the same = 3
Wave1,q006,What do you think the economic situation of your family will be five years from now?,Much Worse = 1; A little Worse = 2; About the same = 3
Wave1,q007,How much trust do you have in the courts?,Not sure = 0; None at all = 1; Not very much trust = 2
Wave1,q008,How much trust do you have in the national government?,Not sure = 0; None at all = 1; Not very much trust = 2
Wave1,q009,How much trust do you have in political parties?,Not sure = 0; None at all = 1; Not very much trust = 2
Wave1,q010,How much trust do you have in Parliament?,Not sure = 0; None at all = 1; Not very much trust = 2
Wave1,q011,How much trust do you have in civil service?,Not sure = 0; None at all = 1; Not very much trust = 2
Wave1,q012,How much trust do you have in the military?,Not sure = 0; None at all = 1; Not very much trust = 2
Wave1,q013,How much trust do you have in the police?,Not sure = 0; None at all = 1; Not very much trust = 2
Wave1,q014,How much trust do you have in local government?,Not sure = 0; None at all = 1; Not very much trust = 2
Wave1,q015,How much trust do you have in newspapers?,Not sure = 0; None at all = 1; Not very much trust = 2
Wave1,q016,How much trust do you have in television?,Not sure = 0; None at all = 1; Not very much trust = 2
Wave1,q017,How much trust do you have in the election commission?,Not sure = 0; None at all = 1; Not very much trust = 2
Wave1,q018,How much trust do you have in non-governmental organizations?,Not sure = 0; None at all = 1; Not very much trust = 2
Wave1,q018_1,TRUST POLICE STATION,Not sure = 0; None at all = 1; Not very much trust = 2
Wave1,q018_2,TRUST STATE OWNED ENTERPRISES,Not sure = 0; None at all = 1; Not very much trust = 2
Wave1,q018_3,TRUST PRIVATE ENTERPRISES,Not sure = 0; None at all = 1; Not very much trust = 2
Wave1,q018_4,TRUST FOREIGN ENTERPRISES,Not sure = 0; None at all = 1; Not very much trust = 2
Wave1,q018_5,TRUST OUR COUNTRY,Not sure = 0; None at all = 1; Not very much trust = 2
Wave1,q018_6,how much trust in radio?,none at all = 1; not very much trust = 2; quite a lot of trust = 3
Wave1,q018_7,Local MP(q18_1),none at all = 1; not very much trust = 2; quite a lot of trust = 3
Wave1,q018_8,The Constitution Court(q18_2),none at all = 1; not very much trust = 2; quite a lot of trust = 3
Wave1,q018_9,The Corruption Commission(q18_3),none at all = 1; not very much trust = 2; quite a lot of trust = 3
Wave1,q022,How frequently do you participate?,Never = 1; Rarely = 2; Sometimes = 3
Wave1,q023,How often do you discuss politics?,Never = 1; Rarely = 2; Sometimes = 3
Wave1,q024,most people can be trusted??,One can't be too careful in dealing with them = 1; Most people can be trusted = 2; Both = 3
Wave1,q025,I have enough friends and connections so that I can get help if I need it,Applies very well = 1; Applies pretty well = 2; Doesn't apply much = 3
Wave1,q026,"I have some friends with influence, so I don't have to worry too much if I get into a tight spot",Applies very well = 1; Applies pretty well = 2; Doesn't apply much = 3
Wave1,q027,Have you participated in last election?,No = 1; Yes = 2; Not applicable = 97
Wave1,q028,Which party did you vote for?,Forgot = 96; Not applicable = 97; Don't know = 98
Wave1,q029,Did you attend a campaign meeting or rally?,No = 1; Yes = 2; Not applicable = 97
Wave1,q030,Did you try to persuade others to vote for a certain candidate or party?,No = 1; Yes = 2; Not applicable = 97
Wave1,q031,Did you do anything else to help or show your support for a party or candidate running in the election?,No = 1; Yes = 2; Not applicable = 97
Wave1,q032,Asked to vote for a particular candidate?_FAMILY MEMBER/RELATIVE,No = 1; Yes = 2; Not applicable = 97
Wave1,q033,Asked following personally ask you to vote for a particular candidate?_SENIORS IN A CLAN OR EXTENDED FAMILY,No = 1; Yes = 2; Not applicable = 97
Wave1,q034,Asked to vote for a particular candidate?_NEIGHBOR/FRIEND,No = 1; Yes = 2; Not applicable = 97
Wave1,q035,Asked to vote for a particular candidate?_COMMUNITY LEADERS,No = 1; Yes = 2; Not applicable = 97
Wave1,q036,Asked to vote for a particular candidate?_SUPERIOR AT WORK/SCHOOL,No = 1; Yes = 2; Not applicable = 97
Wave1,q037,Asked to vote for a particular candidate?_OWNERS OF THE FIRM/UNIT THAT YOU WORK FOR,No = 1; Yes = 2; Not applicable = 97
Wave1,q038,Asked to vote for a particularcandidate?_MEMBER/OFFICIAL OF ORGANIZATION THAT YOU BELONG TO,No = 1; Yes = 2; Not applicable = 97
Wave1,q039,Asked to vote for a particular candidate?_GOVERNMENT OFFICIAL WHOM YOU KNOW PERSONALLY,No = 1; Yes = 2; Not applicable = 97
Wave1,q040,Asked to vote for a particular candidate?_GOVERNMENT OFFICIAL WHOM YOU DON'T KNOW,No = 1; Yes = 2; Not applicable = 97
Wave1,q041,Asked to vote for a particular candidate?_CANDIDATE/PARTY ACTIVIST WHOM YOU KNOW PERSONALLY,No = 1; Yes = 2; Not applicable = 97
Wave1,q042,Asked to vote for a particular candidate?_CANDIDATE/PARTY ACTIVIST WHOM YOU DONT KNOW,No = 1; Yes = 2; Not applicable = 97
Wave1,q043,Asked to vote for a particular candidate?_OTHERS,No = 1; Yes = 2; Not applicable = 97
Wave1,q044,Influential_FAMILY MEMBER/RELATIVE,No = 1; Yes = 2; Not applicable = 97
Wave1,q045,Influential_SENIORS IN A CLAN OR EXTENDED FAMILY,No = 1; Yes = 2; Not applicable = 97
Wave1,q046,Influential_NEIGHBOR/FRIEND,No = 1; Yes = 2; Not applicable = 97
Wave1,q047,Influential_COMMUNITY LEADERS,No = 1; Yes = 2; Not applicable = 97
Wave1,q048,Influential_SUPERIOR AT WORK/SCHOOL,No = 1; Yes = 2; Not applicable = 97
Wave1,q049,Influential_OWNERS OF THE FIRM/UNIT THAT YOU WORK FOR,No = 1; Yes = 2; Not applicable = 97
Wave1,q050,Influential_MEMBER/OFFICIAL OF ORGANIZATION THAT YOU BELONG TO,No = 1; Yes = 2; Not applicable = 97
