concept,domain,description,w1_var,w1_scale,w2_var,w2_scale,w3_var,w3_scale,w4_var,w4_scale,w5_var,w5_scale,w6_var,w6_scale,harmonized_name,harmonize_to,reverse_waves,notes,source
satisfaction_democracy,regime,Satisfaction with way democracy works in country,q093,4pt_1high,q93,4pt_1high,q89,4pt_1high,q92,4pt_1high,q94,4pt_1high,q92,4pt_1high,satisfaction_democracy,4pt_1high,none,All waves. 4-point scale (1=very satisfied to 4=not at all satisfied). HIGHER=LESS satisfied,manual
level_democracy,regime,How much of a democracy is the country,q094,4pt_1high,q94,4pt_1high,q90,4pt_1high,q93,4pt_1high,q95,4pt_1high,q93,4pt_1high,level_democracy,4pt_1high,none,All waves. 4-point scale (1=full democracy to 4=not democracy). HIGHER=LESS democratic,manual
democracy_scale_current,regime,Democracy scale for country now (1-10),q096,10pt_1low,q96,10pt_1low,q92,10pt_1low,q94,10pt_1low,q96,10pt_1low,q94,10pt_1low,democracy_scale_now,10pt_1high,none,All waves. 10-point scale (1=completely undemocratic to 10=completely democratic). HIGHER=MORE democratic,manual
democracy_scale_past,regime,Democracy scale for country 10 years ago,q097,10pt_1low,q97,10pt_1low,q93,10pt_1low,q95,10pt_1low,q97,10pt_1low,q95,10pt_1low,democracy_scale_past,10pt_1high,none,All waves. 10-point scale (1=completely undemocratic to 10=completely democratic). HIGHER=MORE democratic,manual
democracy_scale_future,regime,Expected democracy scale 10 years from now,q098,10pt_1low,q98,10pt_1low,q94,10pt_1low,q96,10pt_1low,q98,10pt_1low,q96,10pt_1low,democracy_scale_future,10pt_1high,none,All waves. 10-point scale (1=completely undemocratic to 10=completely democratic). HIGHER=MORE democratic,manual
democracy_suitable,regime,Whether democracy is suitable for our country,q099,10pt_1low,q99,10pt_1low,q95,10pt_1low,q97,10pt_1low,q99,10pt_1low,q97,10pt_1low,democracy_suitable,10pt_1high,none,All waves. 10-point scale (1=completely unsuitable to 10=perfectly suitable). HIGHER=MORE suitable,manual
democracy_preferable,regime,Democracy is preferable to any other form of government,q100,3choice,q100,3choice,q128,3choice,q129,3choice,q131,3choice,q129,3choice,democracy_preferable,3choice,none,All waves. 3-choice categorical (1=democracy preferable 2=sometimes non-democratic better 3=doesn't matter). Not ordinal - use categorical,manual
govt_satisfaction,regime,Satisfaction with current government,q102,4pt_1high,q102,4pt_1high,q98,4pt_1high,q98,4pt_1high,q100,4pt_1high,q98,4pt_1high,govt_satisfaction,4pt_1high,none,All waves. 4-point scale (1=very satisfied to 4=very dissatisfied). HIGHER=LESS satisfied,manual
strong_leader_support,regime,Support for strong leader who doesn't bother with elections,q103,4choice,q103,4choice,q130,4choice,q130,4choice,q132,4choice,q130,4choice,strong_leader,4choice,none,All waves. 4-choice ordinal (1=strongly support to 4=strongly oppose). HIGHER=LESS authoritarian,manual
army_rule_support,regime,Support for army rule,q104,4choice,q104,4choice,q131,4choice,q131,4choice,q133,4choice,q131,4choice,army_rule,4choice,none,All waves. 4-choice ordinal (1=strongly support to 4=strongly oppose). HIGHER=LESS authoritarian,manual
expert_decide_support,regime,Support for experts making decisions instead of government/elections,q105,4choice,q105,4choice,q132,4choice,q132,4choice,q134,4choice,q132,4choice,expert_decide,4choice,none,All waves. 4-choice ordinal (1=strongly support to 4=strongly oppose). HIGHER=LESS authoritarian,manual
