wave,variable,label,type,value_labels_sample,n_rows
Wave1,country,Country,haven_labelled,Japan = 1; Hong Kong = 2; Korea = 3,12217
Wave1,idnumber,idnumber,numeric,NA,12217
Wave1,level3,urban-rural,haven_labelled,urban = 1; rural = 2; no registration = 3,12217
Wave1,yrsurvey,survey year,haven_labelled,2001 = 2001; 2002 = 2002; 2003 = 2003,12217
Wave1,se002,gender,haven_labelled,male = 1; female = 2; No Answer = 99,12217
Wave1,se003,age group,haven_labelled,18-19 = 1; 20-24 = 2; 25-29 = 3,12217
Wave1,se003a,actual age,haven_labelled,18 = 18; 19 = 19; 20 = 20,12217
Wave1,se004,marital status,haven_labelled, Married = 1; Living-in as married = 2; Widowed = 3,12217
Wave1,se004a,Marital Status(Y/N),haven_labelled,Yes = 1; No = 2; Don't Know = 98,12217
Wave1,se005,education,haven_labelled,No formal education = 1; Incomplete elementary school = 2; Complete elementary school = 3,12217
Wave1,se005a,education by year,haven_labelled,less than 1 year = 0; 1 years = 1; 2 years = 2,12217
Wave1,se005b,education(four categories),haven_labelled,illiterate = 1; primary education = 2; secondary education = 3,12217
Wave1,se006,religion,haven_labelled,Shinto = 1; Daoism = 2; Other Folk Religio = 3,12217
Wave1,se007,relgiosity,haven_labelled,Several times a day = 1; Once a day = 2; Several times a week = 3,12217
Wave1,se008a,n of household members,haven_labelled,none member = 0; 1 member = 1; 2 members = 2,12217
Wave1,se008b,household generations,haven_labelled,1 generation = 1; 2 generations = 2; 3 generations = 3,12217
Wave1,se009,annual income: national quintiles,haven_labelled,lowest quintile = 1; 2nd quintile = 2; 3rd quintile = 3,12217
Wave1,se012a,Main Occupation,haven_labelled,Admin/Manager = 1; Professional = 2; Clerical = 3,12217
Wave1,se012bjp,main occupation(orginal),haven_labelled,Hired Workers(residual) = 10; Professional_technical = 11; Managers_Supervisors = 12,12217
Wave1,se012bhk,OCCUPATION(original),haven_labelled,"INSUFFICIENT INFO = 10; GOVT ADMIN,FOREIGN DIPLOMATS = 11; CORPORATE MANAGERS = 12",12217
Wave1,se012bkr,Occupation(original),haven_labelled,Professional = 1; Administrative/managerial = 2; White-collar office worker/technicians = 3,12217
Wave1,se012bcn,OCCUPATION,haven_labelled,NOT APPLICABLE = 997; DON'T KNOW = 998; NO ANSWER = 999,12217
Wave1,se012bmo,employment,haven_labelled,"wage worker = 1; members of armed forces, sec.personnel = 2; manager = 3",12217
Wave1,se012bph,occupation (verbatim),haven_labelled, ARMED FORCES = 11;  SICK = 55; Not applicable = 97,12217
Wave1,se012btw,(Respondent has a job) What is respondent's current occupation?,haven_labelled,"Enterpriser (With 10 or more employees) = 1; Physical, mathematical or engineering science professional = 2; Private sector-general manager = 3",12217
Wave1,se012bth,Primary occupation of respondent,haven_labelled,hired workers = 10; professional = 11; manager = 12,12217
Wave1,se014,language,haven_labelled,ONLY LOCAL DIALECT = 1; LOCAL DIALECT MOST TIME = 2; COMBINATION = 3,12217
Wave1,se016,ethnicity,haven_labelled,DON'T KNOW = 98; NO ANSWER = 99; HAN = 401,12217
Wave1,se017,subjective social status,haven_labelled,Upper class = 1; Upper middle class = 2; Middle class = 3,12217
Wave1,relig1,Religion,haven_labelled,Shinto = 1; Daoism = 2; Other Folk Religio = 3,12217
Wave1,fgnum,number of formal group,haven_labelled,None = 0; One = 1; Two = 2,12217
Wave1,pgnum,number of private group,haven_labelled,None = 0; One = 1; Two = 2,12217
Wave1,q001,How would you rate the overall economic condition of our country today?,haven_labelled,Very Bad = 1; Bad = 2; So so = 3,12217
