variable,n_waves,waves_present,labels
q100,6,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6","Where would you place our country under the present government? | In your opinion, what are the most important questions facing the country that government should address? | q100. Between elections, the people have no way of holding the government responsible for its actions. | 100. How likely is it that the government will solve the most important problem you identified within the next five years? | 100 In your opinion how much of a democracy is our country? | 100  In our country, parties and candidates not in power have opportunities to be elected into government."
q101,6,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6","To what extent would you want our country to be democratic now? | Second Response | q101. When government leaders break the laws, there is nothing the court can do. | 101. People have the power to change a government they don't like | 101 Where would you place our country under the present government? | 101  Between elections, the people have no way of holding the government responsible for its actions."
q102,6,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6","Where do you expect our country to be in five years? | Third Response | q102. Most citizens in our country don't make much effort to influence government decisions. | 102. Political parties or candidates in our country have equal access to the mass media during the election period. | 102 Where would you place our country ten years ago? | 102  When government leaders break the laws, there is nothing the court can do."
q103,6,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6","Do you think democracy is suitable for our country? | People have the power to change a government they don't like | q103. All citizens from different ethnic communities in Country X are treated equally by the government. | 103. Between elections, the people have no way of holding the government responsible for its actions. | 103 Where would you expect our country to be ten years from now? | 103  All citizens from different ethnic communities in the [Country X] are treated equally by the government."
q104,6,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6","How satisfied or dissatisfied are you with the current government? | Our current courts always punish the guilty even if they are high-ranking officials | q104. Rich and poor people are treated equally by the government. | 104. When government leaders break the laws, there is nothing the court can do. | 104 Where would you place our country today? Democracy is suitable or not | 104  Rich and poor people are treated equally by the government."
q105,6,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6","Everyone is free to say what they think- is better than before? | Political parties or candidates in our country have equal access to the mass media during the election period | q105. People have basic necessities like food, clothes, and shelter. | 105. All citizens from different ethnic communities in the country are treated equally by the government. | 105 How satisfied or dissatisfied are you with the current president/government? | 105  People have basic necessities like food, clothes, and shelter."
q106,6,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6","Everyone is treated equally by the government- is better than before? | Between elections, the people have no way of holding the government responsible for its actions | q106. People are free to speak what they think without fear. | 106 Rich and poor people are treated equally by the government | 106 What are the first most important problems facing this country that government should address(1st response)? | 106  People are free to speak what they think without fear."
q107,6,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6","People like me can have an influence on government- is better than before? | When the government breaks the laws, there is nothing the legal system can do | q107. People can join any organization they like without fear. | 107. People have basic necessities like food, clothes, and shelter | 107 How likely is it that the government will solve the most important problem you identified within the next five years? | 107  People can join any organization they like without fear."
q108,6,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",Corruption in politics and government is under control- is better than before? | Everyone is treated equally by the government | q108. Do officials who commit crimes go unpunished? | 108. People are free to speak what they think without fear. | 108 Citizens are able to remove a government they don't like through elections | 108 How often do government officials withhold important information from the public?
q109,6,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6","The gap between the rich and the poor have narrowed- is better than before? | People have basic necessities like food, clothes, and shelter | q109. How often do government officials withhold important information from the public view? | 109 People can join any organization they like without fear. | 109 In our country, parties and candidates not in power have opportunities to be elected into government | 109 How often do you think government leaders break the law or abuse their power?"
q110,6,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6","Preventing crime and maintaining order- is better than before? | People are free to speak what they think without fear | q110. How often do you think government leaders break the law or abuse their power? | 110 Do officials who commit crimes go unpunished? | 110 Between elections, the people have no way of holding the government responsible for its actions | 110 How often do you think our elections offer the voters a real choice between different parties/candidates?"
q111,6,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6","Economic development- is better than before? | People can join any organization the like without fear | q111.  How often do you think our elections offer the voters a real choice between different parties/candidates? | 111 How often do government officials withhold important information from the public view? | 111 When government leaders break the laws, there is nothing the court can do | 111 To what extent is the legislature capable of keeping government leaders in check?"
q112,6,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",Judges and courts are free from political interference- is better than before? | How often do government officials withhold important information from the public view? | q112. To what extent is the legislature capable of keeping government leaders in check? | 112 How often do you think government leaders break the law or abuse their power? | 112 All citizens from different ethnic communities in the country are treated equally by the government. | 112 How well do you think the government responds to what people want?
q113,6,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",You can join any organization you like- is better than before? | How often do national government officials abide by the law? (HK: Hong Kong government) | q113. How well do you think the government responds to what people want? | 113 How often do you think our elections offer the voters a real choice between different parties/candidates? | 113 Rich and poor people are treated equally by the government | 113 How much do you feel that having elections make the government more responsive to people's needs?
q114,6,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6","How widespread corruption in your local/municipal government? | How often do your think our elections offer the voters a real choice between different parties/candidates? | q114. In your neighborhood or community, do people voice their interests and concerns in local affairs? | 114 To what extent is the legislature capable of keeping government leaders in check? | 114 People have basic necessities like food, clothes, and shelter | 114 How capable is the government of enforcing laws and implementing policies?"
q115,6,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",How widespread corruption in the national government? | To what extent is the legislature capable of keeping the government in check? | q115. How much do you feel that having elections makes the government pay attention to what the people think? | 115 How well do you think the government responds to what people want? | 115 People are free to speak what they think without fear | 115 How widespread do you think corruption and bribe-taking are in your local/municipal government?
q116,6,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",anyone you know personally witnessed an act of corruption? | How well do you think the government responds to what people want? | q116. How widespread do you think corruption and bribe-taking are in your local/municipal government?  Would you say …? | 116 How much do you feel that having elections makes the government pay attention to what the people think? | 116 People can join any organization they like without fear | 116 How widespread do you think corruption and bribe-taking are in the national government?
q117,6,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",Which comes closest to your own opinion? | How widespread do you think corruption and bribe-taking are in your local/municipal government? | q117. How widespread do you think corruption and bribe-taking are in the national government [in capital city]?  Would you say …? | 117 How widespread do you think corruption and bribe-taking are in your local/municipal government? | 117 How often do government officials withhold important information from the public? | 117 How effective is the government in cracking down on corruption?
