variable,label,Wave1,Wave2,Wave3,Wave4,Wave5,Wave6
ACTUAL_COUNT_EXCLUDE,"ACTUAL COUNT (EXCLUDE servants, transients/boarders)",,,,,,✓
ACTUAL_COUNT_INCLUDE,"ACTUAL COUNT (INCLUDE servants, transients/boarders)",,,,,,✓
COUNTRY,Country code,,,,,✓,✓
IDNUMBER,case number,,,,,,✓
IDnumber,case number,,,,,✓,
IR1,IR1 Interviewer's number__________ (a three-digit code),,,,,,✓
IR10,ir10 Language in which interview was conducted,,,,,✓,
IR10,IR10 Language in which interview was conducted,,,,,,✓
IR10a,ir10a Was the interview conducted with the assistance of an interpreter?,,,,,✓,
IR10a,IR10a Was the interview conducted with the assistance of an interpreter?,,,,,,✓
IR11E,"ir11e In terms of walking distance, how far is it between the nearest public transportation stop (bus, train, ferry, tram, etc.) and the respondent's house?",,,,,✓,
IR11a,ir11a What is the condition of the road leading to interviewee's residence?,,,,,✓,
IR11a,"IR11a Based on your observation, what is the condition of the road leading to interviewee's residence?",,,,,,✓
IR11b,ir11b  Please identify the main source of drinking water in the household?,,,,,✓,
IR11b,IR11b Please identify the main source of drinking water in the household?,,,,,,✓
IR11c,ir11c Is electricity the main source of lighting in the house?,,,,,✓,
IR11c,IR11c Is electricity the main source of lighting in the house?,,,,,,✓
IR11d,ir11d Is this neighborhood coverd by mobile phone network(signals)?,,,,,✓,
IR11d,IR11d Is this neighborhood covered by mobile network?,,,,,,✓
IR11e,"IR11e In terms of walking distance, how far is it between the nearest public transportation stop (bus, train, ferry, tram, etc.) and the respondent's house?",,,,,,✓
IR12,"ir12 Were the following services present within the neighborhood,estimate the distance of services by",,,,,✓,
IR12,"IR12 Were the following services present within the neighborhood (i.e., within walking or easy driving distance)",,,,,,✓
IR12A,ir12a. Post-office,,,,,✓,
IR12B,ir12b. School,,,,,✓,
IR12C,ir12c. Police station,,,,,✓,
IR12D,ir12d. Sewerage system that most houses could access,,,,,✓,
IR12E,ir12e. Health clinic,,,,,✓,
IR12F,ir12f. Signal for cellular phone,,,,,✓,
IR12G,"ir12g. Recreational facilities, e.g., a sports field",,,,,✓,
IR12H,"ir12h. Any churches, mosques, temples or other public places of worship",,,,,✓,
IR12I,ir12i. Any town halls or community buildings that can be used for meetings,,,,,✓,
IR12K,ir12K. Market stalls (selling groceries and/or clothing),,,,,✓,
IR12a,IR12a Post-office,,,,,,✓
IR12b,IR12b School,,,,,,✓
IR12c,IR12c Police station,,,,,,✓
IR12d,IR12d Sewerage system that most houses could access,,,,,,✓
IR12e,IR12e Health clinic,,,,,,✓
IR12f,IR12f Signal for cellular phone,,,,,,✓
IR12g,"IR12g Recreational facilities, e.g., a sports field",,,,,,✓
IR12h,"IR12h Any churches, mosques, temples or other public places of worship",,,,,,✓
IR12i,IR12i Any town halls or community buildings that can be used for meetings,,,,,,✓
IR12k,IR12k Market stalls (selling groceries and/or clothing),,,,,,✓
IR13,ir13 Which of the following levels within the country the respondent live?,,,,,✓,
IR13,IR13 Which of the following levels within the country the respondent live?,,,,,,✓
IR2,IR2 Is this the first questionnaire you have completed?,,,,,,✓
IR2a,IR2a Interviewer's gender,,,,,,✓
IR2b,IR2b Interviewer's Age____,,,,,,✓
IR2c,ir2c What kind of language do you normally use at home?,,,,,✓,
IR2c,IR2c What kind of language do you normally use at home?,,,,,,✓
IR2c_other,IR2c_other,,,,,,✓
IR3,"ir3 In the interview, other than the respondent, were others present?",,,,,✓,
IR3,"IR3 In the interview, other than the respondent, were others present?",,,,,,✓
IR3a_1,ir3a_1 Respondent's spouse,,,,,✓,
IR3a_1,IR3a_1 Respondent's spouse,,,,,,✓
IR3a_2,ir3a_2 Children,,,,,✓,
IR3a_2,IR3a_2 Children,,,,,,✓
IR3a_3,ir3a_3 Parents or parents-in-law,,,,,✓,
IR3a_3,IR3a_3 Parents or parents-in-law,,,,,,✓
IR3a_4,ir3a_4 Neighbors/passers by,,,,,✓,
IR3a_4,IR3a_4 Neighbors/passers by,,,,,,✓
IR3a_5,ir3a_5 Party/government official,,,,,✓,
IR3a_5,IR3a_5 Party/government official,,,,,,✓
IR3a_6,ir3a_6 Others,,,,,✓,
IR3a_6_other,IR3a_6_other,,,,,,✓
IR3a_6_other_clarify,IR3a_other_clarify,,,,,,✓
IR4,ir4 Has the respondent ever refused to be interviewed during the whole process?,,,,,✓,
IR4,IR4 Has the respondent ever refused to be interviewed during the whole process?,,,,,,✓
IR5,ir5 Has the respondent ever felt impatient during the interview?,,,,,✓,
IR5,IR5 Has the respondent ever felt impatient during the interview?,,,,,,✓
IR6,ir6 How cooperative was the respondent during the interview?,,,,,✓,
IR6,IR6 How cooperative was the respondent during the interview?,,,,,,✓
IR7,ir7 How sincere was the respondent when answering sensitive questions?,,,,,✓,
IR7,IR7 How sincere was the respondent when answering sensitive questions?,,,,,,✓
IR8,ir8 What proportion of the questions do you feel the respondent had difficulty answering?,,,,,✓,
IR8,IR8 What proportion of the questions do you feel the respondent had difficulty answering?,,,,,,✓
Ir1,ir1 Interviewer's number,,,,,✓,
Ir2,ir2 Is this the first questionnaire you have completed?,,,,,✓,
Ir2A,ir2a Interviewer's gender,,,,,✓,
Ir2B,ir2b Interviewer's Age,,,,,✓,
LEVEL,Rural or urban,,,,,,✓
Level,Rural or urban,,,,,✓,
MONTH,Interview month,,,,,,✓
Month,Interview month,,,,,✓,
Q106c,"106c:(India only) In your opinion, what are the most important problems facing this country that government should address? (1st response)",,,,,✓,
Q106d,"106d:(India only) In your opinion, what are the most important problems facing this country that government should address? (2nd response)",,,,,✓,
Q106e,"106e:(India only) In your opinion, what are the most important problems facing this country that government should address? (3rd response)",,,,,✓,
REGION,Region,,,,,,✓
Region,Region,,,,,✓,
SE10,se10 Are you the main earner in your household?,,,,,✓,
SE10,SE10 Are you the main earner in your household?,,,,,,✓
SE10A,"se10a Is he or she curently self-employed, working in family business or working for an outside employer?",,,,,✓,
SE10B,se10b How many people does his or her business employ?,,,,,✓,
SE10C,se10c What is his/her job title (ISCO code),,,,,✓,
SE10D,se10d Is he or she currently seeking employment?,,,,,✓,
SE10E,se10e What is his or her current status?,,,,,✓,
SE10_1,se10_1 Is the main earner in your household currently employed?,,,,,✓,
SE10_1,SE10_1 Is the main earner in your household currently employed?,,,,,,✓
SE10a,"SE10a Is he or she currently self-employed, working in a family business, or working for an outside employer?",,,,,,✓
SE10b,SE10b How many people do his or her business employ?,,,,,,✓
SE10c,SE10c Here is a list of different types of jobs. Which type of job does he/she have now?,,,,,,✓
SE10d,SE10d Is he or she currently seeking employment?,,,,,,✓
SE10e,SE10e What is his or her current status?,,,,,,✓
SE10eother,SE10eother,,,,,,✓
SE11,SE11 What language do you speak the most in the home?,,,,,,✓
SE11a,SE11a What is your racial or ethnic background?,,,,,,✓
SE11aother,SE11aother,,,,,,✓
SE12,se12 Where would you place your family on the following scale?,,,,,✓,
SE12,SE12 SUBJECTIVE SOCIAL STATUS,,,,,,✓
SE13A,se13a Where would you put yourself on this staircase?,,,,,✓,
SE13B,se13b Where would you put your parents on this staircase?,,,,,✓,
SE13C,se13c Where do you think your children will be on this staircase?,,,,,✓,
SE13a,SE13a Where would you put yourself on the staircase?,,,,,,✓
SE13b,SE13b Where would you put your parents on the staircase?,,,,,,✓
SE13c,SE13c Where do you think your children will be?,,,,,,✓
SE14,se14 What group your household income on average is?,,,,,✓,
SE14,SE14 Monthly household income,,,,,,✓
