concept,wave,variable,scale_detected,n_categories,values,labels,direction
trust_executive,Wave1,NA,NA,NA,NA,NA,NA
trust_executive,Wave2,q7,7pt,7,"1, 2, 3, 4, 7",None at all = 1; Not Very Much Trust = 2; Quite a Lot of Trust = 3,standard
trust_executive,Wave3,q7,7pt,7,"1, 2, 3, 4, 7",Missing = -1; A great deal of trust = 1; Quite a lot of trust = 2,standard
trust_executive,Wave4,q7,7pt,7,"1, 2, 3, 4, 7",Mssing = -1; A great deal of trust = 1; Quite a lot of trust = 2,standard
trust_executive,Wave5,q7,6pt,6,"1, 2, 3, 4, 5",Missing = -1; Trust fully = 1; Trust a lot = 2,standard
trust_executive,Wave6,q7,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Not applicable = 0; A great deal of trust = 1,standard
trust_courts,Wave1,NA,NA,NA,NA,NA,NA
trust_courts,Wave2,q8,7pt,7,"1, 2, 3, 4, 7",None at all = 1; Not Very Much Trust = 2; Quite a Lot of Trust = 3,standard
trust_courts,Wave3,q8,7pt,7,"1, 2, 3, 4, 7",Missing = -1; A great deal of trust = 1; Quite a lot of trust = 2,standard
trust_courts,Wave4,q8,7pt,7,"1, 2, 3, 4, 7",Mssing = -1; A great deal of trust = 1; Quite a lot of trust = 2,standard
trust_courts,Wave5,q8,6pt,6,"1, 2, 3, 4, 5",Missing = -1; Trust fully = 1; Trust a lot = 2,standard
trust_courts,Wave6,q8,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Not applicable = 0; A great deal of trust = 1,standard
trust_national_govt,Wave1,NA,NA,NA,NA,NA,NA
trust_national_govt,Wave2,q9,7pt,7,"1, 2, 3, 4, 7",None at all = 1; Not Very Much Trust = 2; Quite a Lot of Trust = 3,standard
trust_national_govt,Wave3,q9,7pt,7,"1, 2, 3, 4, 7",Missing = -1; A great deal of trust = 1; Quite a lot of trust = 2,standard
trust_national_govt,Wave4,q9,7pt,7,"1, 2, 3, 4, 7",Mssing = -1; A great deal of trust = 1; Quite a lot of trust = 2,standard
trust_national_govt,Wave5,q9,6pt,6,"1, 2, 3, 4, 5",Missing = -1; Trust fully = 1; Trust a lot = 2,standard
trust_national_govt,Wave6,q9,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Not applicable = 0; A great deal of trust = 1,standard
trust_parties,Wave1,NA,NA,NA,NA,NA,NA
trust_parties,Wave2,q10,7pt,7,"1, 2, 3, 4, 7",None at all = 1; Not Very Much Trust = 2; Quite a Lot of Trust = 3,standard
trust_parties,Wave3,q10,7pt,7,"1, 2, 3, 4, 7",Missing = -1; A great deal of trust = 1; Quite a lot of trust = 2,standard
trust_parties,Wave4,q10,7pt,7,"1, 2, 3, 4, 7",Mssing = -1; A great deal of trust = 1; Quite a lot of trust = 2,standard
trust_parties,Wave5,q10,6pt,6,"1, 2, 3, 4, 5",Missing = -1; Trust fully = 1; Trust a lot = 2,standard
trust_parties,Wave6,q10,7pt,7,"1, 2, 3, 4, 7",Missing = -1; Not applicable = 0; A great deal of trust = 1,standard
trust_parliament,Wave1,NA,NA,NA,NA,NA,NA
trust_parliament,Wave2,q11,7pt,7,"1, 2, 3, 4, 7",None at all = 1; Not Very Much Trust = 2; Quite a Lot of Trust = 3,standard
