variable,Wave1,Wave2,Wave3,Wave4,Wave5,Wave6,primary_domain,all_domains,n_waves
q137,"If the government is constantly checked by the legislature, it cannot possibly accomplish great things","When judges decide important cases, they should accept the view of the executive branch","q137. A citizen should always remain loyal only to his country, no matter how imperfect it is or what wrong it has done.",137 You can generally trust the people who run our government to do what is right.,137 We should get rid of parliament and elections and have a strong leader decide things.,"137 A citizen should always remain loyal only to his country, no matter how imperfect it is or what wrong it has done.",accountability,accountability; legislature,6
q160a,,,,,160a It is the responsibility of the government to narrow the gap between the rich and the poor,160a Narrow the gap between the rich and the poor,accountability,accountability,2
q160b,,,,,160b It is the responsibility of the government to make sure that everyone has affordable housing,160b Make sure that everyone has affordable housing,accountability,accountability,2
q160c,,,,,160c It is the responsibility of the government to make sure that everyone has access to basic medical care,160c Make sure that everyone has access to basic medical care,accountability,accountability,2
q160d,,,,,160d It is the responsibility of the government to make sure that basic necessitities such as food and shelters are provided for everyone,160d Make sure that basic necessities such as food and shelters are provided for everyone,accountability,accountability,2
q145a,,,checked by the legislature,,,,accountability,accountability; legislature,1
q123,The military should come in to govern the country,"If you had to choose between democracy and economic development, which would you say is more important?",q123. Where would you place India today on this scale?,123 Where would you place Japan on this scale?,123 How capable is the government of enforcing laws and implementing policies?,123 Where would you place India today on this scale?,authoritarianism,authoritarianism,6
q129a,,,strong leader,,,,authoritarianism,authoritarianism,1
q113,You can join any organization you like- is better than before?,How often do national government officials abide by the law? (HK: Hong Kong government),q113. How well do you think the government responds to what people want?,113 How often do you think our elections offer the voters a real choice between different parties/candidates?,113 Rich and poor people are treated equally by the government,113 How much do you feel that having elections make the government more responsive to people's needs?,civil_society,civil_society,6
q19,,Trust in NGOs,q19. Non-governmental organizations or NGOs <Optional>,19 Non-government organizations or NGOs,19. Name of the organization you belong to. Second,19 Name of the organization you belong to. Second,civil_society,civil_society,5
q20,,Are you a member of any organization or formal groups?,q20. Could you identity the three most important organizations or formal groups you belong to. First Organization,20. Name of the organization you belong to. First,20. Name of the organization that you belong to. Third,20 Name of the organization that you belong to. Third,civil_society,civil_society,5
q82,,Contacted officials of political parties or other political organizations,"q82. A system like ours, even if it runs into problems, deserves the people's support.",82. which of the following statements do you agree with most?,82 which of the following statements do you agree with most?government leaders vs.their citizens,"82  A system like ours, even if it runs into problems, deserves the people's support.",civil_society,civil_society; social_capital,5
q83,,Contacted representative of non-government/civil society organizations,q83. I would rather live under our system of government than any other that I can think of.,"83. Over the long run, our system of government is capable of solving the problems our country faces",83 Which of the following statements do you agree with most? the problem of accountability,83  I would rather live under our system of government than any other that I can think of.,civil_society,civil_society; social_capital,5
q21,,,q21. Second Organization,21. Name of the organization you belong to. Second,21  Which organization you participate most actively in the last 12 months?,21 Which organization you participate most actively in the last 12 months?',civil_society,civil_society,4
q22,,,q22. Third Organization,22. Name of the organization that you belong to. Third,"22 Would you say that ""Most people can be trusted"" or ""that you must be very careful in dealing with people""?",22 Would you say that 'Most people can be trusted' or 'that you must be very careful in dealing with people'?,civil_society,civil_society,4
q050,Influential_MEMBER/OFFICIAL OF ORGANIZATION THAT YOU BELONG TO,,,,,,civil_society,civil_society,1
q076,Contacted political parties or other political organizations?,,,,,,civil_society,civil_society; social_capital,1
q077,Contacted non-government/civil society organizations?,,,,,,civil_society,civil_society; social_capital,1
q084,Did you do this alone or with others?_contacted political parties or other political organizations,,,,,,civil_society,civil_society; social_capital,1
q085,Did you do this alone or with others?_ contacted non-government/civil society organizations,,,,,,civil_society,civil_society; social_capital,1
q092,Gift or dinner_contacted political parties or other political organizations,,,,,,civil_society,civil_society; social_capital,1
q093,Gift or dinner_contacted non-goverment/civil society organizations,,,,,,civil_society,civil_society; social_capital,1
q20_1,,First organization,,,,,civil_society,civil_society,1
q20_2,,Second organization,,,,,civil_society,civil_society,1
q20_3,,Third organization,,,,,civil_society,civil_society,1
q108,Corruption in politics and government is under control- is better than before?,Everyone is treated equally by the government,q108. Do officials who commit crimes go unpunished?,108. People are free to speak what they think without fear.,108 Citizens are able to remove a government they don't like through elections,108 How often do government officials withhold important information from the public?,corruption,corruption,6
q114,How widespread corruption in your local/municipal government?,How often do your think our elections offer the voters a real choice between different parties/candidates?,"q114. In your neighborhood or community, do people voice their interests and concerns in local affairs?",114 To what extent is the legislature capable of keeping government leaders in check?,"114 People have basic necessities like food, clothes, and shelter",114 How capable is the government of enforcing laws and implementing policies?,corruption,corruption; local_government,6
q115,How widespread corruption in the national government?,To what extent is the legislature capable of keeping the government in check?,q115. How much do you feel that having elections makes the government pay attention to what the people think?,115 How well do you think the government responds to what people want?,115 People are free to speak what they think without fear,115 How widespread do you think corruption and bribe-taking are in your local/municipal government?,corruption,corruption,6
q116,anyone you know personally witnessed an act of corruption?,How well do you think the government responds to what people want?,q116. How widespread do you think corruption and bribe-taking are in your local/municipal government?  Would you say …?,116 How much do you feel that having elections makes the government pay attention to what the people think?,116 People can join any organization they like without fear,116 How widespread do you think corruption and bribe-taking are in the national government?,corruption,corruption,6
q018_9,The Corruption Commission(q18_3),,,,,,corruption,corruption,1
q172c,,,,,,172c Widespread corruption that the president [PM] claims can only be reduced by increasing executive power,corruption,corruption,1
q172a,,,,,,172a Which circumstance would justify the governments's use of emergency powers to costrain rights and freedom: A public health crisis like the Covid-19 pandemic,covid,covid,1
q101,To what extent would you want our country to be democratic now?,Second Response,"q101. When government leaders break the laws, there is nothing the court can do.",101. People have the power to change a government they don't like,101 Where would you place our country under the present government?,"101  Between elections, the people have no way of holding the government responsible for its actions.",democracy_level,democracy_level,6
q94,,In your opinion how much of a democracy is [country]?,"q94. Here is a similar scale of 1 to 10 measuring the extent to which people think democracy is suitable for our country. If ""1"" means that democracy is completely unsuitable for [name of country] today and ""10"" means that it is completely suitable, where",94 Where would you place our country under the present government?,"94 When making laws, the government seek advice from religious authorities",94 Where would you expect our country to be ten years from now?,democracy_level,democracy_level,5
q97,,To what extent would you want our country to be democratic now?,q97. How likely is it that the government will solve the most important problem you identified within the next five years? [Read out options],97 Whether you think democracy is suitable for our country,97 Qualified candidates are pre-selected by religious leaders,97 What are the most important problems facing this country that government should address? First,democracy_level,democracy_level,5
q93,,"On the whole, how satisfied or dissatisfied are you with the way democracy works in [country]?",q93. Where would you want our country to be in the future?,93. In your opinion how much of a democracy is the country?,93 People have the freedom to take part in protests and demonstrations,93 Where would you place our country ten years ago?,democracy_satisfaction,democracy_satisfaction,5
q098,Satisfaction with the way democracy works in our country?,,,,,,democracy_satisfaction,democracy_satisfaction,1
q103,Do you think democracy is suitable for our country?,People have the power to change a government they don't like,q103. All citizens from different ethnic communities in Country X are treated equally by the government.,"103. Between elections, the people have no way of holding the government responsible for its actions.",103 Where would you expect our country to be ten years from now?,103  All citizens from different ethnic communities in the [Country X] are treated equally by the government.,democracy_support,democracy_support,6
q98,,Which would you think democracy is suitable for our country?,"q98. Now I am going to read to you a list of statements that describe how people often feel about the state of affairs in [country name]. Please tell me whether you strongly agree, somewhat agree, somewhat disagree, or strongly disagree with each of these",98 How satisfied or dissatisfied are you with the current government?,"98 If you have to choose only one, which of the following you think is the most essential element of a democracy?",98 How likely is it that the government will solve the most important problem you identified within the next five years?,democracy_support,democracy_support,5
