var1,var2,label1_short,label2_short,similarity,waves1,waves2,concept_id
Q106c,Q106d,c india only in your opinion what are the most important problems facing this country that govern...,d india only in your opinion what are the most important problems facing this country that govern...,0.9713281653746769,Wave5,Wave5,Q106c_Q106d
Q106d,Q106c,d india only in your opinion what are the most important problems facing this country that govern...,c india only in your opinion what are the most important problems facing this country that govern...,0.9713281653746769,Wave5,Wave5,Q106c_Q106d
q001,q1,how would you rate the overall economic condition of our country today,how would you rate the overall economic condition of our country today,1,Wave1,"Wave2, Wave3, Wave4, Wave5, Wave6",q001_q1
q1,q001,how would you rate the overall economic condition of our country today,how would you rate the overall economic condition of our country today,1,"Wave2, Wave3, Wave4, Wave5, Wave6",Wave1,q001_q1
q002,q2,how would you describe the change in the economic condition of our country over the past five years,how would you describe the change in the economic condition of our country over the last years,0.97266765111651865,Wave1,"Wave2, Wave3, Wave4, Wave5, Wave6",q002_q2
q2,q002,how would you describe the change in the economic condition of our country over the last years,how would you describe the change in the economic condition of our country over the past five years,0.97266765111651865,"Wave2, Wave3, Wave4, Wave5, Wave6",Wave1,q002_q2
q003,q3,what do you think will be the state of our country s economic condition five years from now,what do you think will be the state of our country s economic condition a few years from now,0.9499692214640919,Wave1,"Wave2, Wave3, Wave4, Wave5, Wave6",q003_q3
q3,q003,what do you think will be the state of our country s economic condition a few years from now,what do you think will be the state of our country s economic condition five years from now,0.9499692214640919,"Wave2, Wave3, Wave4, Wave5, Wave6",Wave1,q003_q3
q004,q4,as for your own family how do you rate your economic situation today,as for your own family how do you rate your economic situation today,1,Wave1,"Wave2, Wave3, Wave4, Wave5, Wave6",q004_q4
q4,q004,as for your own family how do you rate your economic situation today,as for your own family how do you rate your economic situation today,1,"Wave2, Wave3, Wave4, Wave5, Wave6",Wave1,q004_q4
q005,q5,how would you compare the current economic condition of your family with what it was five years ago,how would you compare the current economic condition of your family with what it was a few years ago,0.9660838626818009,Wave1,"Wave2, Wave3, Wave4, Wave5, Wave6",q005_q5
q5,q005,how would you compare the current economic condition of your family with what it was a few years ago,how would you compare the current economic condition of your family with what it was five years ago,0.9660838626818009,"Wave2, Wave3, Wave4, Wave5, Wave6",Wave1,q005_q5
q006,q6,what do you think the economic situation of your family will be five years from now,what do you think the economic situation of your family will be a few years from now,0.945083685712869,Wave1,"Wave2, Wave3, Wave4, Wave5, Wave6",q006_q6
q6,q006,what do you think the economic situation of your family will be a few years from now,what do you think the economic situation of your family will be five years from now,0.945083685712869,"Wave2, Wave3, Wave4, Wave5, Wave6",Wave1,q006_q6
q007,q008,how much trust do you have in the courts,how much trust do you have in the national government,0.8608575556688765,Wave1,Wave1,q007_q008
q008,q007,how much trust do you have in the national government,how much trust do you have in the courts,0.8608575556688765,Wave1,Wave1,q007_q008
q007,q009,how much trust do you have in the courts,how much trust do you have in political parties,0.8888017917133257,Wave1,Wave1,q007_q009
q009,q007,how much trust do you have in political parties,how much trust do you have in the courts,0.8888017917133257,Wave1,Wave1,q007_q009
q007,q010,how much trust do you have in the courts,how much trust do you have in parliament,0.8732323232323231,Wave1,Wave1,q007_q010
q010,q007,how much trust do you have in parliament,how much trust do you have in the courts,0.8732323232323231,Wave1,Wave1,q007_q010
q007,q011,how much trust do you have in the courts,how much trust do you have in civil service,0.8772702104097452,Wave1,Wave1,q007_q011
q011,q007,how much trust do you have in civil service,how much trust do you have in the courts,0.8772702104097452,Wave1,Wave1,q007_q011
q007,q012,how much trust do you have in the courts,how much trust do you have in the military,0.9097883597883598,Wave1,Wave1,q007_q012
q012,q007,how much trust do you have in the military,how much trust do you have in the courts,0.9097883597883598,Wave1,Wave1,q007_q012
q007,q013,how much trust do you have in the courts,how much trust do you have in the police,0.924074074074074,Wave1,Wave1,q007_q013
q013,q007,how much trust do you have in the police,how much trust do you have in the courts,0.924074074074074,Wave1,Wave1,q007_q013
q007,q014,how much trust do you have in the courts,how much trust do you have in local government,0.8710547504025765,Wave1,Wave1,q007_q014
q014,q007,how much trust do you have in local government,how much trust do you have in the courts,0.8710547504025765,Wave1,Wave1,q007_q014
q007,q015,how much trust do you have in the courts,how much trust do you have in newspapers,0.8732323232323231,Wave1,Wave1,q007_q015
q015,q007,how much trust do you have in newspapers,how much trust do you have in the courts,0.8732323232323231,Wave1,Wave1,q007_q015
q007,q016,how much trust do you have in the courts,how much trust do you have in television,0.8901960784313725,Wave1,Wave1,q007_q016
q016,q007,how much trust do you have in television,how much trust do you have in the courts,0.8901960784313725,Wave1,Wave1,q007_q016
q007,q017,how much trust do you have in the courts,how much trust do you have in the election commission,0.8802217808672625,Wave1,Wave1,q007_q017
q017,q007,how much trust do you have in the election commission,how much trust do you have in the courts,0.8802217808672625,Wave1,Wave1,q007_q017
q007,q24,how much trust do you have in the courts,how much trust do you have in your relatives,0.8949426699426699,Wave1,"Wave2, Wave3, Wave4, Wave5, Wave6",q007_q24
