concept,domain,description,w1_var,w1_scale,w2_var,w2_scale,w3_var,w3_scale,w4_var,w4_scale,w5_var,w5_scale,w6_var,w6_scale,harmonized_name,harmonize_to,reverse_waves,notes,source
obey_parents_unreasonable,traditionalism,Children should obey parents even if unreasonable,q064,4pt_1trad,q56,4pt_1trad,q55,4pt_1trad,q60,4pt_1trad,q62,4pt_1trad,q60,4pt_1trad,trad_obey_parents,4pt_1high,none,All waves. 1=Strongly agree to 4=Strongly disagree. Higher=less traditional,manual
hire_relatives_over_qualified,traditionalism,Hire relatives over qualified stranger,q065,4pt_1trad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,trad_nepotism,4pt_1high,none,W1 only. Measuring nepotism/particularism,manual
accommodate_neighbor,traditionalism,Accommodate neighbor in conflict,q066,4pt_1trad,q58,4pt_1trad,NA,NA,NA,NA,NA,NA,NA,NA,trad_accommodate,4pt_1high,none,W1-W2 only. Conflict avoidance,manual
fate_determines_success,traditionalism,Fate determines wealth and success,q067,4pt_1trad,NA,NA,q61,4pt_1trad,q66,4pt_1trad,q68,4pt_1trad,q66,4pt_1trad,trad_fate,4pt_1high,none,W1 and W3-W6. Fatalism measure,manual
not_insist_opinion_coworkers,traditionalism,Not insist on own opinion if coworkers disagree,q068,4pt_1trad,q59,4pt_1trad,q60,4pt_1trad,q65,4pt_1trad,q67,4pt_1trad,q65,4pt_1trad,trad_conform_work,4pt_1high,none,All waves. Conformity/harmony over individual opinion,manual
family_over_individual,traditionalism,Put family interests before individual,q069,4pt_1trad,q60,4pt_1trad,q50,4pt_1trad,q55,4pt_1trad,q58,4pt_1trad,q56,4pt_1trad,trad_family_first,4pt_1high,none,All waves. Collectivism - family level,manual
man_lose_face_female_boss,traditionalism,Man loses face working under female supervisor,q070,4pt_1trad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,trad_gender_hierarchy,4pt_1high,none,W1 only. Gender hierarchy,manual
elder_resolve_dispute,traditionalism,Ask elder to resolve quarrels,q071,4pt_1trad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,trad_elder_authority,4pt_1high,none,W1 only. Respect for age/authority,manual
mother_in_law_conflict,traditionalism,Husband should side with mother-in-law over wife,q072,4pt_1trad,NA,NA,q56,4pt_1trad,q61,4pt_1trad,q63,4pt_1trad,q61,4pt_1trad,trad_filial_piety,4pt_1high,none,W1 and W3-W6. Filial piety over spousal loyalty,manual
not_question_teacher,traditionalism,Students should not question teacher authority,NA,NA,q57,4pt_1trad,q57,4pt_1trad,q62,4pt_1trad,q64,4pt_1trad,q62,4pt_1trad,trad_teacher_authority,4pt_1high,none,W2-W6. Hierarchical education,manual
follow_own_beliefs,traditionalism,Follow own beliefs regardless of others,NA,NA,q61,4pt_1modern,NA,NA,NA,NA,NA,NA,NA,NA,trad_individualism,4pt_1high,W2,W2 only. REVERSED - agreement=modern/individualistic. Need reversal,manual
immediate_vs_longterm,traditionalism,Long-term relationship over immediate interest,NA,NA,q62,4pt_1trad,q53,4pt_1trad,q58,4pt_1trad,q61,4pt_1trad,q59,4pt_1trad,trad_longterm,4pt_1high,none,W2-W6. Relational vs transactional orientation,manual
quarrels_politicians_harmful,traditionalism,Open quarrels among politicians harmful,NA,NA,q63,4pt_1trad,NA,NA,NA,NA,NA,NA,NA,NA,trad_political_harmony,4pt_1high,none,W2 only. Political harmony preference,manual
government_like_parents,traditionalism,Government-people like parent-child relationship,NA,NA,q64,4pt_1trad,NA,NA,NA,NA,NA,NA,NA,NA,trad_paternalism,4pt_1high,none,W2 only. Paternalistic governance,manual
support_government_decisions,traditionalism,Support government even when disagree,NA,NA,q65,4pt_1trad,NA,NA,NA,NA,NA,NA,NA,NA,trad_deference_govt,4pt_1high,none,W2 only. Deference to authority,manual
sacrifice_individual_group,traditionalism,Sacrifice individual for group collective interest,NA,NA,NA,NA,q51,4pt_1trad,q56,4pt_1trad,q59,4pt_1trad,q57,4pt_1trad,trad_collectivism_group,4pt_1high,none,W3-W6. Collectivism - group level,manual
sacrifice_individual_nation,traditionalism,Sacrifice individual for national interest,NA,NA,NA,NA,q52,4pt_1trad,q57,4pt_1trad,q60,4pt_1trad,q58,4pt_1trad,trad_collectivism_nation,4pt_1high,none,W3-W6. Collectivism - national level,manual
avoid_open_quarrel,traditionalism,Avoid open quarrel to preserve group harmony,NA,NA,NA,NA,q58,4pt_1trad,q63,4pt_1trad,q65,4pt_1trad,q63,4pt_1trad,trad_harmony_group,4pt_1high,none,W3-W6. Harmony/conflict avoidance,manual
avoid_disagreement_conflict,traditionalism,Avoid conflict even with disagreement,NA,NA,NA,NA,q59,4pt_1trad,q64,4pt_1trad,q66,4pt_1trad,q64,4pt_1trad,trad_avoid_conflict,4pt_1high,none,W3-W6. Interpersonal conflict avoidance,manual
plan_future_not_immediate,traditionalism,Plan for future not just immediate interest,NA,NA,NA,NA,q54,4pt_1trad,q59,4pt_1trad,NA,NA,NA,NA,trad_future_oriented,4pt_1high,none,W3-W4 only. Similar to q53 but slightly different wording,manual
