batch,concept,domain,description,w1_var,w1_scale,w2_var,w2_scale,w3_var,w3_scale,w4_var,w4_scale,w5_var,w5_scale,w6_var,w6_scale,harmonized_name,harmonize_to,reverse_waves,notes
2,regime_preference_statement,authoritarian,Regime type preference (dem vs auth statement),,,,,q124,3opt,,,,,,,,,,W3 q124. 3opt. NEW CONCEPT
2,support_strongman,authoritarian,Approve strong leader without legislature,,,,,q129,4pt,,,,,,,,,,W3 q129. 4pt. NEW CONCEPT
2,citizen_influence_effort,civic,Citizens make effort to influence govt decisions,,,,,q102,4pt_1agree,,,,,,,,,,W3 q102. 4pt_1agree. NEW CONCEPT
1,citizen_participation_duty,civic,Citizen not performing duty if doesn't participate,,,q151,4pt_1agree,,,,,,,,,,,,W2+. 4pt agree-disagree. Civic duty measure
1,country_loyalty,civic,Citizen should remain loyal to country no matter how imperfect,,,q153,4pt_1agree,,,,,q145,4pt_1agree,q137,4pt_1agree,country_loyalty,4pt_1high,W2+,W2+. 4pt agree-disagree. Nationalism/patriotism measure
3,country_loyalty,civic,,,,,,q137,4pt_1agree,,,,,,,,,,
1,obey_laws_always,civic,Citizens should always obey laws even if disagree,,,q152,4pt_1agree,,,,,,,,,,,,W2+. 4pt agree-disagree. Legal compliance/rule of law measure
1,corruption_heard_family,corruption,Corruption - told about by family member,,,q119_2,binary,,,,,,,,,,,,
3,corruption_heard_family,corruption,,,,,,q119_2,binary,,,,,,,,,,
1,corruption_heard_friend,corruption,Corruption - told about by friend,,,q119_3,binary,,,,,,,,,,,,
3,corruption_heard_friend,corruption,,,,,,q119_3,binary,,,,,,,,,,
1,corruption_local_govt,corruption,Local govt officials involved in corruption,q114,4pt_1everyone,q117,4pt_1everyone,q117,4pt_1low,q117,4pt_1low,q124,4pt_1low,q115,4pt_1low,,,,W2+. 4pt scale (1=hardly anyone to 4=almost everyone). HIGHER=MORE corruption perceived
1,corruption_media,corruption,Journalists/media involved in corruption,,,q120,4pt_1low,,,,,,,,,,,,W2+. 4pt scale (1=hardly anyone to 4=almost everyone). HIGHER=MORE corruption perceived
1,corruption_police,corruption,Police/law enforcement involved in corruption,,,q119,4pt_1low,,,,,,,,,,,,W2+. 4pt scale (1=hardly anyone to 4=almost everyone). HIGHER=MORE corruption perceived
1,corruption_seen_directly,corruption,Corruption - witnessed directly,,,q119_1,binary,,,,,,,,,,,,
1,corruption_witnessed,corruption,Personally witnessed corruption in past year,,,,,,,q120,5cat,,,,,,,,W4+ q120. 5 categories from personally witnessed to no one witnessed
3,corruption_witnessed,corruption,,,,,,q119,4pt,,,,,,,,,,
2,corruption_witnessed_self,corruption,Corruption - witnessed directly by respondent,,,,,q119_1,binary,,,,,,,,,,W3 q119_1. binary. NEW CONCEPT
