concept,domain,description,w1_var,w1_scale,harmonized_name,harmonize_to,reverse_waves,notes
age,demographics,Age of respondent,se003a,continuous,age,continuous,none,Standard demographic
country,identifiers,Country name,country,categorical,country_name,categorical,none,Standardize country names
education,demographics,Education level,se005,ordinal,education,ordinal,none,Standard demographic - check coding
org_count_formal,social_capital,Number of formal groups belong to,fgnum,count_0to3,org_count_formal,count,none,W1-W2 only. Count variable 0-3
gender,demographics,Gender/sex,se002,binary,gender,binary,none,Standard demographic
respondent_id,identifiers,Unique respondent ID,idnumber,id,resp_id,id,none,May need to create wave-country-id
income,demographics,Income level,se009,ordinal,income,ordinal,none,Check exact variable names per wave
corruption_witnessed,corruption,Personally witnessed corruption in past year,NA,NA,NA,NA,NA,W4+ q120. 5 categories from personally witnessed to no one witnessed
govt_anticorruption_effort,corruption,Is government working to crack down on corruption,NA,NA,NA,NA,NA,W3+ q118. 4pt (1=doing best to 4=nothing). HIGHER=LESS effort
govt_withhold_info,corruption,How often govt withholds important info from public,NA,NA,NA,NA,NA,W4+ q111. 4pt (1=always to 4=rarely). HIGHER=MORE transparent
leaders_break_law,corruption,How often govt leaders break law or abuse power,NA,NA,NA,NA,NA,W4+ q112. 4pt (1=always to 4=rarely). HIGHER=LESS corruption
officials_unpunished,corruption,Officials who commit crimes go unpunished,NA,NA,NA,NA,NA,W4+ q110. 4pt (1=always to 4=rarely). HIGHER=LESS corruption
covid_economic_impact,covid,COVID impact on family livelihood,NA,NA,covid_econ_impact,4pt_1serious,none,W6 only. 1=very serious to 4=not much
covid_emergency_powers,covid,Justify emergency powers for health,NA,NA,emergency_powers,4pt_1justified,none,W6 only. Authoritarianism measure
covid_govt_handling,covid,Government pandemic handling,NA,NA,covid_govt_handling,4pt_1good,none,*** W6 ONLY - KEY DV for Paper 1 ***
covid_infection,covid,Personal/family COVID-19 infection,NA,NA,covid_infected,binary_1yes,none,*** W6 ONLY - KEY for Paper 1 (Vietnam Paradox) ***
covid_trust_info,covid,Trust in govt COVID information,NA,NA,covid_trust_info,4pt_1high,none,*** W6 ONLY - KEY MEDIATOR for Paper 1 ***
covid_vaccination,covid,COVID vaccination status,NA,NA,covid_vaccinated,categorical,none,W6 only. Multiple categories
emergency_powers_corruption,covid,Justify emergency powers to reduce corruption,NA,NA,NA,NA,NA,W6 q172c. Corruption justification
emergency_powers_covid,covid,Justify emergency powers for COVID pandemic,NA,NA,NA,NA,NA,W6 q172a. 1=very justified to 4=not at all
emergency_powers_economic,covid,Justify emergency powers for economic crisis,NA,NA,NA,NA,NA,W6 q172b. Economic crisis justification
emergency_powers_security,covid,Justify emergency powers for security crisis,NA,NA,NA,NA,NA,W6 q172d. Security/terrorism justification
emergency_powers_war,covid,Justify emergency powers when at war,NA,NA,NA,NA,NA,W6 q172e. War justification
between_elections_accountability,democracy,Between elections people can't hold govt responsible,NA,NA,NA,NA,NA,W4+ q103. 4pt agree-disagree. REVERSED - agreement=less accountable
courts_check_leaders,democracy,Courts can't do anything when leaders break laws,NA,NA,NA,NA,NA,W4+ q104. 4pt agree-disagree. REVERSED - agreement=less accountable
