concept,domain,description,w1_var,w1_scale,w2_var,w2_scale,w3_var,w3_scale,w4_var,w4_scale,w5_var,w5_scale,w6_var,w6_scale,harmonized_name,harmonize_to,reverse_waves,notes,source,w1_label
trust_executive,trust,Trust in executive/president/PM,NA,NA,q7,4pt,q7,6pt,q7,4pt_rev,q7,6pt,q7,4pt,trust_exec,4pt_1high,W4,All waves present. W3/W5 use 6pt scale - need to collapse,existing,NA
trust_courts,trust,Trust in courts/judicial system,NA,NA,q8,4pt,q8,6pt,q8,4pt_rev,q8,6pt,q8,4pt,trust_courts,4pt_1high,W4,All waves present. W3/W5 need collapsing,existing,NA
trust_national_govt,trust,Trust in national government,NA,NA,q9,4pt,q9,6pt,q9,4pt_rev,q9,6pt,q9,4pt,trust_natl_govt,4pt_1high,W4,All waves present. This is KEY variable for Paper 5,existing,NA
trust_parties,trust,Trust in political parties,NA,NA,q10,4pt,q10,6pt,q10,4pt_rev,q10,6pt,q10,4pt,trust_parties,4pt_1high,W4,All waves present,existing,NA
trust_parliament,trust,Trust in parliament/legislature,NA,NA,q11,4pt,q11,6pt,q11,4pt_rev,q11,6pt,q11,4pt,trust_parliament,4pt_1high,W4,All waves present,existing,NA
trust_civil_service,trust,Trust in civil service/bureaucracy,NA,NA,q12,4pt,q12,6pt,q12,4pt_rev,q12,6pt,q12,4pt,trust_civil_service,4pt_1high,W4,All waves present,existing,NA
trust_military,trust,Trust in military/armed forces,NA,NA,q13,4pt,q13,6pt,q13,4pt_rev,q13,6pt,q13,4pt,trust_military,4pt_1high,W4,All waves present,existing,NA
trust_police,trust,Trust in police,NA,NA,q14,4pt,q14,6pt,q14,4pt_rev,q14,6pt,q14,4pt,trust_police,4pt_1high,W4,All waves present,existing,NA
trust_local_govt,trust,Trust in local government,NA,NA,q15,4pt,q15,6pt,q15,4pt_rev,q15,6pt,q15,4pt,trust_local_govt,4pt_1high,W4,*** CRITICAL for Paper 5 - LOCAL TRUST ***,existing,NA
trust_election_commission,trust,Trust in election commission,NA,NA,q16,4pt,q16,6pt,q16,4pt_rev,q16,6pt,q16,4pt,trust_elec_comm,4pt_1high,W4,W2-W5 newspaper/TV; W6 election commission - NOT comparable,existing,NA
trust_ngos,trust,Trust in NGOs/civil society,NA,NA,q17,4pt,q17,6pt,q17,4pt_rev,q17,6pt,q17,4pt,trust_ngos,4pt_1high,W4,W2-W5 TV; W6 NGOs - W6 comparable only for institutional substitution,existing,NA
gen_trust_binary,trust,Most people can be trusted (binary),NA,NA,q23,binary,q23,binary,q23,binary,q23,binary,NA,NA,gen_trust_bin,binary,none,W2-W5 only. W6 uses different question (q22 4pt scale),existing,NA
gen_trust_scale,trust,Most people are trustworthy (scale),NA,NA,NA,NA,NA,NA,q24,4pt,NA,NA,q23,4pt,gen_trust_scale,4pt_1high,none,W4 and W6 only - check exact wording,existing,NA
trust_relatives,trust,Trust in relatives,NA,NA,q24,6pt,q24,6pt,NA,NA,q24,6pt,q24,6pt,trust_relatives,6pt_1high,none,W2-W3 and W5-W6. Missing W4,existing,NA
trust_neighbors,trust,Trust in neighbors,NA,NA,q25,6pt,q25,6pt,NA,NA,q25,6pt,q25,6pt,trust_neighbors,6pt_1high,none,W2-W3 and W5-W6. Missing W4,existing,NA
trust_others_interact,trust,Trust in people you interact with,NA,NA,q26,6pt,q26,6pt,NA,NA,q26,6pt,q26,6pt,trust_others,6pt_1high,none,W2-W3 and W5-W6. Missing W4,existing,NA
