concept,domain,description,w1_var,w1_scale,w2_var,w2_scale,w3_var,w3_scale,w4_var,w4_scale,w5_var,w5_scale,w6_var,w6_scale,harmonized_name,harmonize_to,reverse_waves,notes,source,w1_label
gen_trust_binary,trust,Most people can be trusted (binary),NA,NA,q23,binary,q23,binary,q23,binary,q23,binary,NA,NA,gen_trust_bin,binary,none,W2-W5 only. W6 uses different question (q22 4pt scale),existing,NA
gen_trust_scale,trust,Most people are trustworthy (scale),NA,NA,NA,NA,NA,NA,q24,4pt,NA,NA,q23,4pt,gen_trust_scale,4pt_1high,none,W4 and W6 only - check exact wording,existing,NA
trust_civil_service,trust,Trust in civil service/bureaucracy,q011,4pt_0low,q12,4pt,q12,4pt_1high,q12,4pt_rev,q12,6pt,q12,4pt,trust_civil_service,4pt_1high,W4,All waves present,existing,Trust in civil service
trust_courts,trust,Trust in courts/judicial system,q007,4pt_0low,q8,4pt,q8,4pt_1high,q8,4pt_rev,q8,6pt,q8,4pt,trust_courts,4pt_1high,W4,All waves present. W3/W5 need collapsing,existing,Trust in courts
trust_election_commission,trust,Trust in election commission,q017,4pt_0low,q16,4pt,q16,4pt_1high,q16,4pt_rev,q16,6pt,q16,4pt,trust_elec_comm,4pt_1high,W4,W2-W5 newspaper/TV; W6 election commission - NOT comparable,existing,Trust in election commission
trust_executive,trust,Trust in executive/president/PM,NA,NA,q7,4pt,q7,4pt_1high,q7,4pt_rev,q7,6pt,q7,4pt,trust_exec,4pt_1high,W4,All waves present. W3/W5 use 6pt scale - need to collapse,existing,NA
trust_first_meet,trust,Trust in people you meet first time,NA,NA,q27,4pt_1low,q27,6pt,NA,NA,q27,6pt,q27,6pt,trust_first_meet,6pt_1high,none,W2-W3 and W5-W6. Missing W4,existing,NA
trust_local_govt,trust,Trust in local government,q014,4pt_0low,q15,4pt,q15,4pt_1high,q15,4pt_rev,q15,6pt,q15,4pt,trust_local_govt,4pt_1high,W4,*** CRITICAL for Paper 5 - LOCAL TRUST ***,existing,Trust in local government
trust_military,trust,Trust in military/armed forces,q012,4pt_0low,q13,4pt,q13,4pt_1high,q13,4pt_rev,q13,6pt,q13,4pt,trust_military,4pt_1high,W4,All waves present,existing,Trust in military
trust_national_govt,trust,Trust in national government,q008,4pt_0low,q9,4pt,q9,4pt_1high,q9,4pt_rev,q9,6pt,q9,4pt,trust_natl_govt,4pt_1high,W4,All waves present. This is KEY variable for Paper 5,existing,Trust in national government
trust_neighbors,trust,Trust in neighbors,NA,NA,q25,4pt_1high,q25,4pt_1high,q27,4pt_1high,q25,6pt,q25,6pt,trust_neighbors,6pt_1high,none,W2-W3 and W5-W6. Missing W4,existing,NA
trust_newspapers,trust,Trust in newspapers,NA,NA,q18,4pt_1low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W2. 4pt trust scale (1=None at all to 4=Great deal). Note: W2 q18 is newspapers, not NGOs",w2_verification,NA
trust_newspapers_w3,trust,Trust in newspapers (W3 specific),NA,NA,NA,NA,q16,4pt_1high,q16,4pt_1high,NA,NA,NA,NA,NA,NA,NA,W3 q16. 4pt (1=Great deal to 4=None). W3-only - other waves have different media items,w3_verification,NA
trust_ngos,trust,Trust in NGOs/civil society,q018,4pt_0low,q17,4pt,q17,4pt_1high,q17,4pt_rev,q17,6pt,q17,4pt,trust_ngos,4pt_1high,W4,W2-W5 TV; W6 NGOs - W6 comparable only for institutional substitution,existing,Trust in NGOs
