Variable,Question
q001,How would you rate the overall economic condition of our country today? 
q002,How would you describe the change in the economic condition of our country over the past five years? 
q003,What do you think will be the state of our country's economic condition five years from now? 
q004,"As for your own family, how do you rate your economic situation today? "
q005,How would you compare the current economic condition of your family with what it was five years ago? 
q006,What do you think the economic situation of your family will be five years from now? 
q007,How much trust do you have in the courts? 
q008,How much trust do you have in the national government? 
q009,How much trust do you have in political parties? 
q010,How much trust do you have in Parliament? 
q011,How much trust do you have in civil service? 
q012,How much trust do you have in the military? 
q013,How much trust do you have in the police? 
q014,How much trust do you have in local government? 
q015,How much trust do you have in newspapers? 
q016,How much trust do you have in television? 
q017,How much trust do you have in the election commission? 
q018,How much trust do you have in non-governmental organizations? 
q023,How often do you discuss politics? 
q024,most people can be trusted?? 
q027,Have you participated in last election? 
q028,Which party did you vote for? 
q029,Did you attend a campaign meeting or rally? 
q030,Did you try to persuade others to vote for a certain candidate or party? 
q031,Did you do anything else to help or show your support for a party or candidate running in the election? 
q056,How interested would you say you are interested in politics? 
q057,How often do you follow news about politics? 
q062,party feel closest to 
q064,"Even if parents' demands are unreasonable, children still should do what they ask? "
q065,"When hiring someone, even if a stranger is more qualified, the opportunity should still be given to relatives and friend "
q066,"When one has a conflict with a neighbor, the best way to deal with it is to accommodate the other person? "
q067,"Wealth and poverty, success and failure are all determined by fate? "
q068,A person should not insist on his own opinion if his co-workers disagree with him? 
q069,"For the sake of the family, the individual should put his personal interests second? "
q070,A man will lose face if he works under a female supervisor? 
q071,"If there is a quarrel, we should ask an elder to resolve the dispute? "
q072,"When a mother-in-law and a daughter-in-law come into conflict, even if the mother-in-law is in the wrong, the husband sh "
q073,Contacted any government official to express your opinions? 
q074,Contacted officials to express your opinions at higher level? 
q080,Contacted other people? 
q084,Did you do this alone or with others?_contacted political parties or other political organizations 
q087,"Did you do this alone or with others?_demonstration, strike, sit-in "
q095,"Gift or dinner_demonstration, strike, sit-in "
q098,Satisfaction with the way democracy works in our country? 
q099,Where would you place our country on this scale during the period of [name of the most recent government under authoritarian rule]? 
q100,Where would you place our country under the present government? 
q102,Where do you expect our country to be in five years? 
q103,Do you think democracy is suitable for our country? 
q104,How satisfied or dissatisfied are you with the current government? 
q114,How widespread corruption in your local/municipal government? 
q115,How widespread corruption in the national government? 
q117,Which comes closest to your own opinion? 
q121,We should get rid of parliament and elections and have a strong leader decide things 
q123,The military should come in to govern the country 
q124,We should get rid of parliament and elections and have the experts decide everything 
